"Sex","Age_bin_idx",".chain",".iteration",".draw","variable","value"
"F",2,1,104,104,"logit_rho",-3.62224
"F",2,1,105,105,"logit_rho",-3.6142
"F",2,1,106,106,"logit_rho",-3.72936
"F",2,1,107,107,"logit_rho",-3.66273
"F",2,1,108,108,"logit_rho",-3.90191
"F",2,1,109,109,"logit_rho",-3.68042
"F",2,1,110,110,"logit_rho",-3.2573
"F",2,1,111,111,"logit_rho",-3.2971
"F",2,1,112,112,"logit_rho",-3.53043
"F",2,1,113,113,"logit_rho",-3.56769
"F",2,1,114,114,"logit_rho",-3.43317
"F",2,1,115,115,"logit_rho",-3.59774
"F",2,1,116,116,"logit_rho",-3.71483
"F",2,1,117,117,"logit_rho",-3.84575
"F",2,1,118,118,"logit_rho",-3.7579
"F",2,1,119,119,"logit_rho",-3.49891
"F",2,1,120,120,"logit_rho",-3.5533
"F",2,1,121,121,"logit_rho",-3.55621
"F",2,1,122,122,"logit_rho",-3.35374
"F",2,1,123,123,"logit_rho",-3.18067
"F",2,1,124,124,"logit_rho",-3.37171
"F",2,1,125,125,"logit_rho",-3.33139
"F",2,1,126,126,"logit_rho",-4.02858
"F",2,1,127,127,"logit_rho",-4.02655
"F",2,1,128,128,"logit_rho",-3.83029
"F",2,1,129,129,"logit_rho",-3.87956
"F",2,1,130,130,"logit_rho",-3.85981
"F",2,1,131,131,"logit_rho",-3.75396
"F",2,1,132,132,"logit_rho",-3.67971
"F",2,1,133,133,"logit_rho",-3.75971
"F",2,1,134,134,"logit_rho",-3.71885
"F",2,1,135,135,"logit_rho",-3.90498
"F",2,1,136,136,"logit_rho",-3.76218
"F",2,1,137,137,"logit_rho",-4.02632
"F",2,1,138,138,"logit_rho",-3.89988
"F",2,1,139,139,"logit_rho",-3.73262
"F",2,1,140,140,"logit_rho",-3.87965
"F",2,1,141,141,"logit_rho",-3.79954
"F",2,1,142,142,"logit_rho",-3.71434
"F",2,1,143,143,"logit_rho",-3.38573
"F",2,1,144,144,"logit_rho",-3.55586
"F",2,1,145,145,"logit_rho",-3.49047
"F",2,1,146,146,"logit_rho",-3.53392
"F",2,1,147,147,"logit_rho",-3.62086
"F",2,1,148,148,"logit_rho",-3.53505
"F",2,1,149,149,"logit_rho",-3.4993
"F",2,1,150,150,"logit_rho",-3.39537
"F",2,1,151,151,"logit_rho",-3.66982
"F",2,1,152,152,"logit_rho",-3.52122
"F",2,1,153,153,"logit_rho",-3.79851
"F",2,1,154,154,"logit_rho",-3.71288
"F",2,1,155,155,"logit_rho",-3.6723
"F",2,1,156,156,"logit_rho",-3.65745
"F",2,1,157,157,"logit_rho",-3.68498
"F",2,1,158,158,"logit_rho",-3.70573
"F",2,1,159,159,"logit_rho",-3.5725
"F",2,1,160,160,"logit_rho",-3.68989
"F",2,1,161,161,"logit_rho",-3.6959
"F",2,1,162,162,"logit_rho",-3.84019
"F",2,1,163,163,"logit_rho",-3.7386
"F",2,1,164,164,"logit_rho",-3.93129
"F",2,1,165,165,"logit_rho",-3.8826
"F",2,1,166,166,"logit_rho",-3.82231
"F",2,1,167,167,"logit_rho",-3.35306
"F",2,1,168,168,"logit_rho",-3.50422
"F",2,1,169,169,"logit_rho",-3.66417
"F",2,1,170,170,"logit_rho",-3.55378
"F",2,1,171,171,"logit_rho",-3.59557
"F",2,1,172,172,"logit_rho",-3.51989
"F",2,1,173,173,"logit_rho",-3.53872
"F",2,1,174,174,"logit_rho",-3.65432
"F",2,1,175,175,"logit_rho",-3.84101
"F",2,1,176,176,"logit_rho",-3.85929
"F",2,1,177,177,"logit_rho",-3.79626
"F",2,1,178,178,"logit_rho",-4.01828
"F",2,1,179,179,"logit_rho",-3.984
"F",2,1,180,180,"logit_rho",-3.98157
"F",2,1,181,181,"logit_rho",-3.85356
"F",2,1,182,182,"logit_rho",-4.04904
"F",2,1,183,183,"logit_rho",-3.9682
"F",2,1,184,184,"logit_rho",-3.78979
"F",2,1,185,185,"logit_rho",-3.76719
"F",2,1,186,186,"logit_rho",-3.905
"F",2,1,187,187,"logit_rho",-3.96224
"F",2,1,188,188,"logit_rho",-3.96437
"F",2,1,189,189,"logit_rho",-3.64193
"F",2,1,190,190,"logit_rho",-3.95665
"F",2,1,191,191,"logit_rho",-3.608
"F",2,1,192,192,"logit_rho",-3.21081
"F",2,1,193,193,"logit_rho",-3.10392
"F",2,1,194,194,"logit_rho",-3.32859
"F",2,1,195,195,"logit_rho",-3.16374
"F",2,1,196,196,"logit_rho",-3.2157
"F",2,1,197,197,"logit_rho",-3.43225
"F",2,1,198,198,"logit_rho",-3.38142
"F",2,1,199,199,"logit_rho",-3.75258
"F",2,1,200,200,"logit_rho",-3.50404
"F",2,1,201,201,"logit_rho",-3.21281
"F",2,1,202,202,"logit_rho",-3.67921
"F",2,1,203,203,"logit_rho",-4.01362
"F",2,1,204,204,"logit_rho",-3.9308
"F",2,1,205,205,"logit_rho",-4.09223
"F",2,1,206,206,"logit_rho",-3.91465
"F",2,1,207,207,"logit_rho",-3.71852
"F",2,1,208,208,"logit_rho",-3.9864
"F",2,1,209,209,"logit_rho",-3.46727
"F",2,1,210,210,"logit_rho",-3.44828
"F",2,1,211,211,"logit_rho",-3.42267
"F",2,1,212,212,"logit_rho",-3.65829
"F",2,1,213,213,"logit_rho",-3.57832
"F",2,1,214,214,"logit_rho",-3.38504
"F",2,1,215,215,"logit_rho",-3.63483
"F",2,1,216,216,"logit_rho",-3.96398
"F",2,1,217,217,"logit_rho",-3.94752
"F",2,1,218,218,"logit_rho",-3.79778
"F",2,1,219,219,"logit_rho",-4.02319
"F",2,1,220,220,"logit_rho",-3.78346
"F",2,1,221,221,"logit_rho",-3.5369
"F",2,1,222,222,"logit_rho",-3.52208
"F",2,1,223,223,"logit_rho",-3.50934
"F",2,1,224,224,"logit_rho",-3.49461
"F",2,1,225,225,"logit_rho",-3.56039
"F",2,1,226,226,"logit_rho",-3.50188
"F",2,1,227,227,"logit_rho",-3.39077
"F",2,1,228,228,"logit_rho",-3.61255
"F",2,1,229,229,"logit_rho",-3.52938
"F",2,1,230,230,"logit_rho",-3.83902
"F",2,1,231,231,"logit_rho",-3.64975
"F",2,1,232,232,"logit_rho",-3.65208
"F",2,1,233,233,"logit_rho",-3.42093
"F",2,1,234,234,"logit_rho",-3.58002
"F",2,1,235,235,"logit_rho",-3.61365
"F",2,1,236,236,"logit_rho",-3.56996
"F",2,1,237,237,"logit_rho",-3.84298
"F",2,1,238,238,"logit_rho",-3.72822
"F",2,1,239,239,"logit_rho",-3.55024
"F",2,1,240,240,"logit_rho",-3.80287
"F",2,1,241,241,"logit_rho",-3.62399
"F",2,1,242,242,"logit_rho",-3.53791
"F",2,1,243,243,"logit_rho",-3.46645
"F",2,1,244,244,"logit_rho",-3.61715
"F",2,1,245,245,"logit_rho",-3.7539
"F",2,1,246,246,"logit_rho",-3.62087
"F",2,1,247,247,"logit_rho",-3.80659
"F",2,1,248,248,"logit_rho",-3.97657
"F",2,1,249,249,"logit_rho",-3.80579
"F",2,1,250,250,"logit_rho",-3.57799
"F",2,1,251,251,"logit_rho",-3.61748
"F",2,1,252,252,"logit_rho",-3.35542
"F",2,1,253,253,"logit_rho",-3.18476
"F",2,1,254,254,"logit_rho",-3.28653
"F",2,1,255,255,"logit_rho",-3.21075
"F",2,1,256,256,"logit_rho",-3.23254
"F",2,1,257,257,"logit_rho",-3.05947
"F",2,1,258,258,"logit_rho",-3.07766
"F",2,1,259,259,"logit_rho",-3.61358
"F",2,1,260,260,"logit_rho",-3.50825
"F",2,1,261,261,"logit_rho",-3.71512
"F",2,1,262,262,"logit_rho",-3.2702
"F",2,1,263,263,"logit_rho",-3.37691
"F",2,1,264,264,"logit_rho",-3.13487
"F",2,1,265,265,"logit_rho",-3.29137
"F",2,1,266,266,"logit_rho",-3.29286
"F",2,1,267,267,"logit_rho",-3.16234
"F",2,1,268,268,"logit_rho",-3.52629
"F",2,1,269,269,"logit_rho",-3.43258
"F",2,1,270,270,"logit_rho",-3.29517
"F",2,1,271,271,"logit_rho",-3.2345
"F",2,1,272,272,"logit_rho",-3.61997
"F",2,1,273,273,"logit_rho",-3.59341
"F",2,1,274,274,"logit_rho",-3.65448
"F",2,1,275,275,"logit_rho",-3.72165
"F",2,1,276,276,"logit_rho",-3.70329
"F",2,1,277,277,"logit_rho",-3.77109
"F",2,1,278,278,"logit_rho",-3.81016
"F",2,1,279,279,"logit_rho",-3.76534
"F",2,1,280,280,"logit_rho",-3.47213
"F",2,1,281,281,"logit_rho",-3.56005
"F",2,1,282,282,"logit_rho",-3.79809
"F",2,1,283,283,"logit_rho",-3.69267
"F",2,1,284,284,"logit_rho",-3.92598
"F",2,1,285,285,"logit_rho",-3.41615
"F",2,1,286,286,"logit_rho",-3.66897
"F",2,1,287,287,"logit_rho",-3.63755
"F",2,1,288,288,"logit_rho",-3.3203
"F",2,1,289,289,"logit_rho",-3.38497
"F",2,1,290,290,"logit_rho",-3.20034
"F",2,1,291,291,"logit_rho",-3.04231
"F",2,1,292,292,"logit_rho",-3.04252
"F",2,1,293,293,"logit_rho",-3.20922
"F",2,1,294,294,"logit_rho",-3.6701
"F",2,1,295,295,"logit_rho",-3.56183
"F",2,1,296,296,"logit_rho",-3.33109
"F",2,1,297,297,"logit_rho",-3.49012
"F",2,1,298,298,"logit_rho",-3.31756
"F",2,1,299,299,"logit_rho",-3.77227
"F",2,1,300,300,"logit_rho",-3.71634
"F",2,2,1,301,"logit_rho",-3.86828
"F",2,2,2,302,"logit_rho",-3.91653
"F",2,2,3,303,"logit_rho",-3.78345
"F",2,2,4,304,"logit_rho",-3.91096
"F",2,2,5,305,"logit_rho",-3.46796
"F",2,2,6,306,"logit_rho",-3.68018
"F",2,2,7,307,"logit_rho",-3.78437
"F",2,2,8,308,"logit_rho",-3.7085
"F",2,2,9,309,"logit_rho",-3.56864
"F",2,2,10,310,"logit_rho",-3.96982
"F",2,2,11,311,"logit_rho",-3.79148
"F",2,2,12,312,"logit_rho",-3.64454
"F",2,2,13,313,"logit_rho",-3.50676
"F",2,2,14,314,"logit_rho",-3.72408
"F",2,2,15,315,"logit_rho",-3.81911
"F",2,2,16,316,"logit_rho",-3.96496
"F",2,2,17,317,"logit_rho",-3.92608
"F",2,2,18,318,"logit_rho",-3.57405
"F",2,2,19,319,"logit_rho",-3.42064
"F",2,2,20,320,"logit_rho",-3.19203
"F",2,2,21,321,"logit_rho",-3.0724
"F",2,2,22,322,"logit_rho",-2.96156
"F",2,2,23,323,"logit_rho",-3.37384
"F",2,2,24,324,"logit_rho",-3.2795
"F",2,2,25,325,"logit_rho",-3.49235
"F",2,2,26,326,"logit_rho",-3.41161
"F",2,2,27,327,"logit_rho",-3.63843
"F",2,2,28,328,"logit_rho",-3.72186
"F",2,2,29,329,"logit_rho",-3.65386
"F",2,2,30,330,"logit_rho",-3.78464
"F",2,2,31,331,"logit_rho",-4.06612
"F",2,2,32,332,"logit_rho",-3.63542
"F",2,2,33,333,"logit_rho",-3.6378
"F",2,2,34,334,"logit_rho",-3.50742
"F",2,2,35,335,"logit_rho",-3.50014
"F",2,2,36,336,"logit_rho",-3.78289
"F",2,2,37,337,"logit_rho",-3.78887
"F",2,2,38,338,"logit_rho",-3.51468
"F",2,2,39,339,"logit_rho",-3.23135
"F",2,2,40,340,"logit_rho",-3.31258
"F",2,2,41,341,"logit_rho",-3.54309
"F",2,2,42,342,"logit_rho",-3.6226
"F",2,2,43,343,"logit_rho",-3.33342
"F",2,2,44,344,"logit_rho",-3.72807
"F",2,2,45,345,"logit_rho",-3.90064
"F",2,2,46,346,"logit_rho",-3.93962
"F",2,2,47,347,"logit_rho",-3.81196
"F",2,2,48,348,"logit_rho",-4.07311
"F",2,2,49,349,"logit_rho",-3.96622
"F",2,2,50,350,"logit_rho",-3.63465
"F",2,2,51,351,"logit_rho",-3.72186
"F",2,2,52,352,"logit_rho",-3.65888
"F",2,2,53,353,"logit_rho",-3.356
"F",2,2,54,354,"logit_rho",-3.45306
"F",2,2,55,355,"logit_rho",-3.29575
"F",2,2,56,356,"logit_rho",-3.36715
"F",2,2,57,357,"logit_rho",-3.6158
"F",2,2,58,358,"logit_rho",-3.78896
"F",2,2,59,359,"logit_rho",-3.75629
"F",2,2,60,360,"logit_rho",-3.78474
"F",2,2,61,361,"logit_rho",-3.67846
"F",2,2,62,362,"logit_rho",-3.62743
"F",2,2,63,363,"logit_rho",-3.72385
"F",2,2,64,364,"logit_rho",-3.56377
"F",2,2,65,365,"logit_rho",-3.26652
"F",2,2,66,366,"logit_rho",-3.45655
"F",2,2,67,367,"logit_rho",-3.72471
"F",2,2,68,368,"logit_rho",-3.56733
"F",2,2,69,369,"logit_rho",-3.79428
"F",2,2,70,370,"logit_rho",-3.78524
"F",2,2,71,371,"logit_rho",-3.87073
"F",2,2,72,372,"logit_rho",-3.96254
"F",2,2,73,373,"logit_rho",-3.42915
"F",2,2,74,374,"logit_rho",-3.4023
"F",2,2,75,375,"logit_rho",-3.33184
"F",2,2,76,376,"logit_rho",-3.40102
"F",2,2,77,377,"logit_rho",-3.26126
"F",2,2,78,378,"logit_rho",-3.28336
"F",2,2,79,379,"logit_rho",-3.56353
"F",2,2,80,380,"logit_rho",-3.56162
"F",2,2,81,381,"logit_rho",-3.56546
"F",2,2,82,382,"logit_rho",-3.62332
"F",2,2,83,383,"logit_rho",-3.7786
"F",2,2,84,384,"logit_rho",-3.75391
"F",2,2,85,385,"logit_rho",-3.6445
"F",2,2,86,386,"logit_rho",-3.7532
"F",2,2,87,387,"logit_rho",-3.62631
"F",2,2,88,388,"logit_rho",-3.31106
"F",2,2,89,389,"logit_rho",-3.51104
"F",2,2,90,390,"logit_rho",-3.54687
"F",2,2,91,391,"logit_rho",-3.61009
"F",2,2,92,392,"logit_rho",-3.42068
"F",2,2,93,393,"logit_rho",-3.57433
"F",2,2,94,394,"logit_rho",-3.35488
"F",2,2,95,395,"logit_rho",-3.55118
"F",2,2,96,396,"logit_rho",-3.2426
"F",2,2,97,397,"logit_rho",-3.2195
"F",2,2,98,398,"logit_rho",-3.56774
"F",2,2,99,399,"logit_rho",-3.49701
"F",2,2,100,400,"logit_rho",-3.80407
"F",2,2,101,401,"logit_rho",-3.79145
"F",2,2,102,402,"logit_rho",-3.83069
"F",2,2,103,403,"logit_rho",-3.62186
"F",2,2,104,404,"logit_rho",-3.38839
"F",2,2,105,405,"logit_rho",-3.56619
"F",2,2,106,406,"logit_rho",-3.96027
"F",2,2,107,407,"logit_rho",-3.82322
"F",2,2,108,408,"logit_rho",-3.61497
"F",2,2,109,409,"logit_rho",-3.88615
"F",2,2,110,410,"logit_rho",-4.02291
"F",2,2,111,411,"logit_rho",-4.02022
"F",2,2,112,412,"logit_rho",-3.92785
"F",2,2,113,413,"logit_rho",-3.68749
"F",2,2,114,414,"logit_rho",-3.74866
"F",2,2,115,415,"logit_rho",-3.86977
"F",2,2,116,416,"logit_rho",-3.60773
"F",2,2,117,417,"logit_rho",-3.4561
"F",2,2,118,418,"logit_rho",-3.61994
"F",2,2,119,419,"logit_rho",-3.81988
"F",2,2,120,420,"logit_rho",-3.70427
"F",2,2,121,421,"logit_rho",-3.2252
"F",2,2,122,422,"logit_rho",-3.46703
"F",2,2,123,423,"logit_rho",-3.54458
"F",2,2,124,424,"logit_rho",-3.89095
"F",2,2,125,425,"logit_rho",-3.79872
"F",2,2,126,426,"logit_rho",-3.50747
"F",2,2,127,427,"logit_rho",-2.98734
"F",2,2,128,428,"logit_rho",-3.38567
"F",2,2,129,429,"logit_rho",-3.67815
"F",2,2,130,430,"logit_rho",-3.48701
"F",2,2,131,431,"logit_rho",-3.63024
"F",2,2,132,432,"logit_rho",-3.89892
"F",2,2,133,433,"logit_rho",-3.55906
"F",2,2,134,434,"logit_rho",-3.51501
"F",2,2,135,435,"logit_rho",-3.38125
"F",2,2,136,436,"logit_rho",-3.2479
"F",2,2,137,437,"logit_rho",-3.57795
"F",2,2,138,438,"logit_rho",-3.43492
"F",2,2,139,439,"logit_rho",-3.26713
"F",2,2,140,440,"logit_rho",-3.19879
"F",2,2,141,441,"logit_rho",-3.48784
"F",2,2,142,442,"logit_rho",-3.46522
"F",2,2,143,443,"logit_rho",-3.29911
"F",2,2,144,444,"logit_rho",-3.64259
"F",2,2,145,445,"logit_rho",-3.37706
"F",2,2,146,446,"logit_rho",-3.37482
"F",2,2,147,447,"logit_rho",-3.61144
"F",2,2,148,448,"logit_rho",-3.63766
"F",2,2,149,449,"logit_rho",-3.74569
"F",2,2,150,450,"logit_rho",-4.04039
"F",2,2,151,451,"logit_rho",-3.81117
"F",2,2,152,452,"logit_rho",-3.47258
"F",2,2,153,453,"logit_rho",-3.51139
"F",2,2,154,454,"logit_rho",-3.96515
"F",2,2,155,455,"logit_rho",-3.51801
"F",2,2,156,456,"logit_rho",-3.48739
"F",2,2,157,457,"logit_rho",-3.46157
"F",2,2,158,458,"logit_rho",-3.51122
"F",2,2,159,459,"logit_rho",-3.52286
"F",2,2,160,460,"logit_rho",-3.78863
"F",2,2,161,461,"logit_rho",-3.68158
"F",2,2,162,462,"logit_rho",-3.8875
"F",2,2,163,463,"logit_rho",-3.32587
"F",2,2,164,464,"logit_rho",-3.70382
"F",2,2,165,465,"logit_rho",-3.72358
"F",2,2,166,466,"logit_rho",-3.45235
"F",2,2,167,467,"logit_rho",-3.24013
"F",2,2,168,468,"logit_rho",-3.21842
"F",2,2,169,469,"logit_rho",-3.20635
"F",2,2,170,470,"logit_rho",-3.31823
"F",2,2,171,471,"logit_rho",-3.26072
"F",2,2,172,472,"logit_rho",-3.33107
"F",2,2,173,473,"logit_rho",-3.43409
"F",2,2,174,474,"logit_rho",-3.64026
"F",2,2,175,475,"logit_rho",-3.79068
"F",2,2,176,476,"logit_rho",-3.71919
"F",2,2,177,477,"logit_rho",-3.76694
"F",2,2,178,478,"logit_rho",-3.49324
"F",2,2,179,479,"logit_rho",-3.74003
"F",2,2,180,480,"logit_rho",-3.68187
"F",2,2,181,481,"logit_rho",-3.69069
"F",2,2,182,482,"logit_rho",-3.88749
"F",2,2,183,483,"logit_rho",-3.71148
"F",2,2,184,484,"logit_rho",-3.73551
"F",2,2,185,485,"logit_rho",-3.60734
"F",2,2,186,486,"logit_rho",-3.62326
"F",2,2,187,487,"logit_rho",-3.51279
"F",2,2,188,488,"logit_rho",-3.91617
"F",2,2,189,489,"logit_rho",-3.97407
"F",2,2,190,490,"logit_rho",-3.74273
"F",2,2,191,491,"logit_rho",-3.73904
"F",2,2,192,492,"logit_rho",-3.66176
"F",2,2,193,493,"logit_rho",-3.24187
"F",2,2,194,494,"logit_rho",-3.52831
"F",2,2,195,495,"logit_rho",-3.39796
"F",2,2,196,496,"logit_rho",-3.59671
"F",2,2,197,497,"logit_rho",-3.50858
"F",2,2,198,498,"logit_rho",-3.65441
"F",2,2,199,499,"logit_rho",-3.51066
"F",2,2,200,500,"logit_rho",-3.70037
"F",2,2,201,501,"logit_rho",-3.7095
"F",2,2,202,502,"logit_rho",-3.90186
"F",2,2,203,503,"logit_rho",-3.96075
"F",2,2,204,504,"logit_rho",-3.93735
"F",2,2,205,505,"logit_rho",-3.31435
"F",2,2,206,506,"logit_rho",-3.27511
"F",2,2,207,507,"logit_rho",-3.56884
"F",2,2,208,508,"logit_rho",-3.84887
"F",2,2,209,509,"logit_rho",-3.67898
"F",2,2,210,510,"logit_rho",-3.90134
"F",2,2,211,511,"logit_rho",-3.6895
"F",2,2,212,512,"logit_rho",-3.77216
"F",2,2,213,513,"logit_rho",-3.74457
"F",2,2,214,514,"logit_rho",-3.74677
"F",2,2,215,515,"logit_rho",-3.38457
"F",2,2,216,516,"logit_rho",-3.53396
"F",2,2,217,517,"logit_rho",-3.62011
"F",2,2,218,518,"logit_rho",-3.57015
"F",2,2,219,519,"logit_rho",-3.59328
"F",2,2,220,520,"logit_rho",-3.5657
"F",2,2,221,521,"logit_rho",-3.403
"F",2,2,222,522,"logit_rho",-3.50405
"F",2,2,223,523,"logit_rho",-3.5562
"F",2,2,224,524,"logit_rho",-3.52048
"F",2,2,225,525,"logit_rho",-3.50463
"F",2,2,226,526,"logit_rho",-3.43733
"F",2,2,227,527,"logit_rho",-3.7247
"F",2,2,228,528,"logit_rho",-3.71458
"F",2,2,229,529,"logit_rho",-3.69212
"F",2,2,230,530,"logit_rho",-3.94355
"F",2,2,231,531,"logit_rho",-3.62675
"F",2,2,232,532,"logit_rho",-3.6271
"F",2,2,233,533,"logit_rho",-3.93419
"F",2,2,234,534,"logit_rho",-4.06224
"F",2,2,235,535,"logit_rho",-3.90541
"F",2,2,236,536,"logit_rho",-3.90278
"F",2,2,237,537,"logit_rho",-3.81947
"F",2,2,238,538,"logit_rho",-3.67678
"F",2,2,239,539,"logit_rho",-3.93095
"F",2,2,240,540,"logit_rho",-3.87085
"F",2,2,241,541,"logit_rho",-3.53662
"F",2,2,242,542,"logit_rho",-3.35322
"F",2,2,243,543,"logit_rho",-3.44679
"F",2,2,244,544,"logit_rho",-3.72961
"F",2,2,245,545,"logit_rho",-3.75362
"F",2,2,246,546,"logit_rho",-3.53496
"F",2,2,247,547,"logit_rho",-3.7028
"F",2,2,248,548,"logit_rho",-4.03357
"F",2,2,249,549,"logit_rho",-3.76013
"F",2,2,250,550,"logit_rho",-3.76448
"F",2,2,251,551,"logit_rho",-3.72248
"F",2,2,252,552,"logit_rho",-3.52081
"F",2,2,253,553,"logit_rho",-3.85735
"F",2,2,254,554,"logit_rho",-3.70817
"F",2,2,255,555,"logit_rho",-3.74701
"F",2,2,256,556,"logit_rho",-3.69073
"F",2,2,257,557,"logit_rho",-4.02371
"F",2,2,258,558,"logit_rho",-4.04243
"F",2,2,259,559,"logit_rho",-4.01345
"F",2,2,260,560,"logit_rho",-3.8066
"F",2,2,261,561,"logit_rho",-3.71475
"F",2,2,262,562,"logit_rho",-3.44479
"F",2,2,263,563,"logit_rho",-3.661
"F",2,2,264,564,"logit_rho",-3.69717
"F",2,2,265,565,"logit_rho",-3.33238
"F",2,2,266,566,"logit_rho",-3.54003
"F",2,2,267,567,"logit_rho",-3.4526
"F",2,2,268,568,"logit_rho",-3.70313
"F",2,2,269,569,"logit_rho",-3.71147
"F",2,2,270,570,"logit_rho",-3.70185
"F",2,2,271,571,"logit_rho",-4.0446
"F",2,2,272,572,"logit_rho",-3.9883
"F",2,2,273,573,"logit_rho",-3.74045
"F",2,2,274,574,"logit_rho",-3.88745
"F",2,2,275,575,"logit_rho",-3.72155
"F",2,2,276,576,"logit_rho",-4.0663
"F",2,2,277,577,"logit_rho",-3.68568
"F",2,2,278,578,"logit_rho",-3.62779
"F",2,2,279,579,"logit_rho",-3.53769
"F",2,2,280,580,"logit_rho",-3.51976
