"variable","med","lwr","upr","Sex","State_code_stan","Year","Age_bin_idx","Age"
"pLabCases[1,23,1,1]",0.0138577,0.00311289875,0.0475032575,"F",23,2014,2,"1-4"
"pLabCases[2,23,1,1]",0.01441365,0.003259227,0.04978861,"M",23,2014,2,"1-4"
"pLabCases[1,24,1,1]",0.02049545,0.00548215025,0.0567863324999999,"F",24,2014,2,"1-4"
"pLabCases[2,24,1,1]",0.0210365,0.0055563355,0.0594196,"M",24,2014,2,"1-4"
"pLabCases[1,25,1,1]",0.0352604,0.01294732,0.0830982849999999,"F",25,2014,2,"1-4"
"pLabCases[2,25,1,1]",0.0364488,0.013302775,0.08482317,"M",25,2014,2,"1-4"
"pLabCases[1,26,1,1]",0.02802135,0.00883486325,0.0671689724999999,"F",26,2014,2,"1-4"
"pLabCases[2,26,1,1]",0.02907305,0.009145574,0.0702781975,"M",26,2014,2,"1-4"
"pLabCases[1,27,1,1]",0.01386895,0.00269032425,0.0517965075,"F",27,2014,2,"1-4"
"pLabCases[2,27,1,1]",0.014223,0.002732559,0.0524687225,"M",27,2014,2,"1-4"
"pLabCases[1,1,2,1]",0.147209,0.0534450625,0.3340714,"F",1,2015,2,"1-4"
"pLabCases[2,1,2,1]",0.153617,0.0558793275,0.341672625,"M",1,2015,2,"1-4"
"pLabCases[1,2,2,1]",7.71065,6.395735,9.413656,"F",2,2015,2,"1-4"
"pLabCases[2,2,2,1]",7.956615,6.660295,9.70579,"M",2,2015,2,"1-4"
"pLabCases[1,3,2,1]",1.05194,0.8463278,1.32427,"F",3,2015,2,"1-4"
"pLabCases[2,3,2,1]",1.089695,0.879945775,1.35312825,"M",3,2015,2,"1-4"
"pLabCases[1,4,2,1]",0.845128,0.590124275,1.220674,"F",4,2015,2,"1-4"
"pLabCases[2,4,2,1]",0.873993,0.6174411,1.23805675,"M",4,2015,2,"1-4"
"pLabCases[1,5,2,1]",3.496675,2.86951575,4.285452,"F",5,2015,2,"1-4"
"pLabCases[2,5,2,1]",3.6269,2.9723115,4.457371,"M",5,2015,2,"1-4"
"pLabCases[1,6,2,1]",0.476925,0.3360638,0.677444,"F",6,2015,2,"1-4"
"pLabCases[2,6,2,1]",0.4945205,0.3476071,0.7069994,"M",6,2015,2,"1-4"
"pLabCases[1,7,2,1]",0.03249365,0.008372106,0.0854966724999999,"F",7,2015,2,"1-4"
"pLabCases[2,7,2,1]",0.0335927,0.00887385725,0.08684733,"M",7,2015,2,"1-4"
"pLabCases[1,8,2,1]",0.06938475,0.029873705,0.1434727,"F",8,2015,2,"1-4"
"pLabCases[2,8,2,1]",0.07167425,0.0312149875,0.1456318,"M",8,2015,2,"1-4"
"pLabCases[1,9,2,1]",0.31709,0.197414875,0.48943405,"F",9,2015,2,"1-4"
"pLabCases[2,9,2,1]",0.326464,0.206874525,0.501348624999999,"M",9,2015,2,"1-4"
"pLabCases[1,10,2,1]",1.340655,1.00758425,1.74581975,"F",10,2015,2,"1-4"
"pLabCases[2,10,2,1]",1.383795,1.04454825,1.81806475,"M",10,2015,2,"1-4"
"pLabCases[1,11,2,1]",0.172693,0.0959778125,0.3044565,"F",11,2015,2,"1-4"
"pLabCases[2,11,2,1]",0.1795365,0.09735359,0.307955949999999,"M",11,2015,2,"1-4"
"pLabCases[1,12,2,1]",0.362911,0.23015475,0.547162875,"F",12,2015,2,"1-4"
"pLabCases[2,12,2,1]",0.375586,0.2423269,0.562847025,"M",12,2015,2,"1-4"
"pLabCases[1,13,2,1]",0.2386735,0.14443385,0.365025825,"F",13,2015,2,"1-4"
"pLabCases[2,13,2,1]",0.2462425,0.154332875,0.383784625,"M",13,2015,2,"1-4"
"pLabCases[1,14,2,1]",0.7824335,0.540693975,1.0982315,"F",14,2015,2,"1-4"
"pLabCases[2,14,2,1]",0.8060865,0.564562975,1.107309,"M",14,2015,2,"1-4"
"pLabCases[1,15,2,1]",0.581085,0.4140572,0.8196031,"F",15,2015,2,"1-4"
"pLabCases[2,15,2,1]",0.6032565,0.430515025,0.8452363,"M",15,2015,2,"1-4"
"pLabCases[1,16,2,1]",0.2693,0.1673482,0.40846435,"F",16,2015,2,"1-4"
"pLabCases[2,16,2,1]",0.280328,0.175678475,0.42287055,"M",16,2015,2,"1-4"
"pLabCases[1,17,2,1]",11.29515,9.49283075,13.40543,"F",17,2015,2,"1-4"
"pLabCases[2,17,2,1]",11.62355,9.87997025,13.7601325,"M",17,2015,2,"1-4"
"pLabCases[1,18,2,1]",0.09426565,0.0419347625,0.189489075,"F",18,2015,2,"1-4"
"pLabCases[2,18,2,1]",0.09733305,0.04362397,0.195440225,"M",18,2015,2,"1-4"
"pLabCases[1,19,2,1]",0.7026835,0.51066135,0.959369849999999,"F",19,2015,2,"1-4"
"pLabCases[2,19,2,1]",0.7277085,0.52694815,0.99658415,"M",19,2015,2,"1-4"
"pLabCases[1,20,2,1]",0.6792705,0.484766125,0.910447175,"F",20,2015,2,"1-4"
"pLabCases[2,20,2,1]",0.700728,0.5037782,0.944166275,"M",20,2015,2,"1-4"
"pLabCases[1,21,2,1]",0.3219515,0.216018,0.479365825,"F",21,2015,2,"1-4"
"pLabCases[2,21,2,1]",0.333589,0.221199325,0.49680305,"M",21,2015,2,"1-4"
"pLabCases[1,22,2,1]",0.1860355,0.102069075,0.31198515,"F",22,2015,2,"1-4"
"pLabCases[2,22,2,1]",0.1920505,0.106243525,0.320600624999999,"M",22,2015,2,"1-4"
"pLabCases[1,23,2,1]",0.1262335,0.0577943375,0.242818625,"F",23,2015,2,"1-4"
"pLabCases[2,23,2,1]",0.1313995,0.0593826575,0.24987755,"M",23,2015,2,"1-4"
"pLabCases[1,24,2,1]",0.0692082,0.0277398175,0.141619775,"F",24,2015,2,"1-4"
"pLabCases[2,24,2,1]",0.0717683,0.0295714175,0.14388865,"M",24,2015,2,"1-4"
"pLabCases[1,25,2,1]",2.243805,1.8092305,2.813323,"F",25,2015,2,"1-4"
"pLabCases[2,25,2,1]",2.314555,1.849055,2.87464175,"M",25,2015,2,"1-4"
"pLabCases[1,26,2,1]",7.874145,6.68626975,9.3283605,"F",26,2015,2,"1-4"
"pLabCases[2,26,2,1]",8.132365,6.93517375,9.66393275,"M",26,2015,2,"1-4"
"pLabCases[1,27,2,1]",0.09798565,0.0434486925,0.198552025,"F",27,2015,2,"1-4"
"pLabCases[2,27,2,1]",0.101526,0.04528923,0.201404525,"M",27,2015,2,"1-4"
"pLabCases[1,1,3,1]",1.27759,0.910550175,1.75867775,"F",1,2016,2,"1-4"
"pLabCases[2,1,3,1]",1.32118,0.9566686,1.82110825,"M",1,2016,2,"1-4"
"pLabCases[1,2,3,1]",28.9385,24.3078625,34.5418175,"F",2,2016,2,"1-4"
"pLabCases[2,2,3,1]",30.00805,25.446035,35.6417575,"M",2,2016,2,"1-4"
"pLabCases[1,3,3,1]",2.254805,1.71703075,2.9343675,"F",3,2016,2,"1-4"
"pLabCases[2,3,3,1]",2.32633,1.80057125,3.04229425,"M",3,2016,2,"1-4"
"pLabCases[1,4,3,1]",2.320905,1.789039,2.9677395,"F",4,2016,2,"1-4"
"pLabCases[2,4,3,1]",2.39976,1.83733525,3.05495175,"M",4,2016,2,"1-4"
"pLabCases[1,5,3,1]",11.1559,9.277434,13.3681125,"F",5,2016,2,"1-4"
"pLabCases[2,5,3,1]",11.56675,9.5794435,13.758425,"M",5,2016,2,"1-4"
"pLabCases[1,6,3,1]",91.98995,81.1122125,104.391925,"F",6,2016,2,"1-4"
"pLabCases[2,6,3,1]",95.3561,84.2193475,107.685025,"M",6,2016,2,"1-4"
"pLabCases[1,7,3,1]",0.0385144,0.0127598525,0.092449685,"F",7,2016,2,"1-4"
"pLabCases[2,7,3,1]",0.04013305,0.01323643,0.0941911525,"M",7,2016,2,"1-4"
"pLabCases[1,8,3,1]",1.252025,0.960294375,1.63376775,"F",8,2016,2,"1-4"
"pLabCases[2,8,3,1]",1.28832,0.976896425,1.6835405,"M",8,2016,2,"1-4"
"pLabCases[1,9,3,1]",0.7732935,0.57306325,1.04261725,"F",9,2016,2,"1-4"
"pLabCases[2,9,3,1]",0.79701,0.5850385,1.05581175,"M",9,2016,2,"1-4"
"pLabCases[1,10,3,1]",36.2725,30.6419625,43.114215,"F",10,2016,2,"1-4"
"pLabCases[2,10,3,1]",37.44505,31.513445,44.3785725,"M",10,2016,2,"1-4"
"pLabCases[1,11,3,1]",1.148635,0.855471025,1.5344375,"F",11,2016,2,"1-4"
"pLabCases[2,11,3,1]",1.18501,0.894956675,1.578753,"M",11,2016,2,"1-4"
"pLabCases[1,12,3,1]",0.3432615,0.214192225,0.52416195,"F",12,2016,2,"1-4"
"pLabCases[2,12,3,1]",0.3552125,0.22313075,0.547063925,"M",12,2016,2,"1-4"
"pLabCases[1,13,3,1]",1.85644,1.469785,2.33165825,"F",13,2016,2,"1-4"
"pLabCases[2,13,3,1]",1.92009,1.52586525,2.41017125,"M",13,2016,2,"1-4"
"pLabCases[1,14,3,1]",20.6698,17.412355,24.8998675,"F",14,2016,2,"1-4"
"pLabCases[2,14,3,1]",21.3551,18.06936,25.7376225,"M",14,2016,2,"1-4"
"pLabCases[1,15,3,1]",67.91725,57.307285,81.3650275,"F",15,2016,2,"1-4"
"pLabCases[2,15,3,1]",70.72595,59.6702275,83.7168925,"M",15,2016,2,"1-4"
"pLabCases[1,16,3,1]",1.662875,1.311219,2.10838075,"F",16,2016,2,"1-4"
"pLabCases[2,16,3,1]",1.721415,1.35281325,2.20038625,"M",16,2016,2,"1-4"
"pLabCases[1,17,3,1]",107.0775,93.954345,122.9867,"F",17,2016,2,"1-4"
"pLabCases[2,17,3,1]",110.954,97.07885,126.2067,"M",17,2016,2,"1-4"
"pLabCases[1,18,3,1]",7.949665,6.64658775,9.531202,"F",18,2016,2,"1-4"
"pLabCases[2,18,3,1]",8.246145,6.8881355,9.987901,"M",18,2016,2,"1-4"
"pLabCases[1,19,3,1]",60.94545,52.139545,72.165575,"F",19,2016,2,"1-4"
"pLabCases[2,19,3,1]",63.1015,53.747635,74.0855475,"M",19,2016,2,"1-4"
"pLabCases[1,20,3,1]",40.8402,34.9689525,47.7804975,"F",20,2016,2,"1-4"
"pLabCases[2,20,3,1]",41.94285,35.9073475,49.0560775,"M",20,2016,2,"1-4"
"pLabCases[1,21,3,1]",0.988377,0.7615734,1.29049025,"F",21,2016,2,"1-4"
"pLabCases[2,21,3,1]",1.026925,0.78368445,1.3349755,"M",21,2016,2,"1-4"
"pLabCases[1,22,3,1]",1.04777,0.77509975,1.36549375,"F",22,2016,2,"1-4"
"pLabCases[2,22,3,1]",1.08382,0.796689025,1.41687125,"M",22,2016,2,"1-4"
"pLabCases[1,23,3,1]",0.6154175,0.40634045,0.892446625,"F",23,2016,2,"1-4"
"pLabCases[2,23,3,1]",0.6338815,0.4269801,0.92598915,"M",23,2016,2,"1-4"
"pLabCases[1,24,3,1]",0.241361,0.147635175,0.38127315,"F",24,2016,2,"1-4"
"pLabCases[2,24,3,1]",0.2498505,0.149909375,0.3868946,"M",24,2016,2,"1-4"
"pLabCases[1,25,3,1]",11.51395,9.69044525,13.969135,"F",25,2016,2,"1-4"
"pLabCases[2,25,3,1]",11.9277,9.97470975,14.3738875,"M",25,2016,2,"1-4"
"pLabCases[1,26,3,1]",11.19715,9.48525475,13.4505675,"F",26,2016,2,"1-4"
"pLabCases[2,26,3,1]",11.61225,9.87182725,13.8155975,"M",26,2016,2,"1-4"
"pLabCases[1,27,3,1]",6.527705,5.37613625,8.03622574999999,"F",27,2016,2,"1-4"
"pLabCases[2,27,3,1]",6.759015,5.62212925,8.26139999999999,"M",27,2016,2,"1-4"
"pLabCases[1,1,4,1]",1.00183,0.723710225,1.379129,"F",1,2017,2,"1-4"
"pLabCases[2,1,4,1]",1.03847,0.73451255,1.45315125,"M",1,2017,2,"1-4"
"pLabCases[1,2,4,1]",2.027475,1.5994485,2.65903825,"F",2,2017,2,"1-4"
"pLabCases[2,2,4,1]",2.09498,1.62934825,2.7310745,"M",2,2017,2,"1-4"
"pLabCases[1,3,4,1]",3.639555,2.87015425,4.65333975,"F",3,2017,2,"1-4"
"pLabCases[2,3,4,1]",3.767595,2.941829,4.8076035,"M",3,2017,2,"1-4"
"pLabCases[1,4,4,1]",2.425575,1.884026,3.10612525,"F",4,2017,2,"1-4"
"pLabCases[2,4,4,1]",2.502585,1.9542395,3.198004,"M",4,2017,2,"1-4"
"pLabCases[1,5,4,1]",28.3695,23.7889525,34.3106225,"F",5,2017,2,"1-4"
"pLabCases[2,5,4,1]",29.45895,24.6476675,35.12588,"M",5,2017,2,"1-4"
"pLabCases[1,6,4,1]",285.008,250.753875,321.92345,"F",6,2017,2,"1-4"
"pLabCases[2,6,4,1]",294.1775,259.579825,332.566525,"M",6,2017,2,"1-4"
"pLabCases[1,7,4,1]",0.0451098,0.016940875,0.103187025,"F",7,2017,2,"1-4"
"pLabCases[2,7,4,1]",0.0466241,0.017207215,0.108262725,"M",7,2017,2,"1-4"
"pLabCases[1,8,4,1]",5.66723,4.73363275,6.843613,"F",8,2017,2,"1-4"
"pLabCases[2,8,4,1]",5.835915,4.86414425,7.0777465,"M",8,2017,2,"1-4"
"pLabCases[1,9,4,1]",0.853464,0.626715275,1.154435,"F",9,2017,2,"1-4"
"pLabCases[2,9,4,1]",0.8809975,0.647917225,1.18865175,"M",9,2017,2,"1-4"
"pLabCases[1,10,4,1]",9.37899,7.8301025,11.215915,"F",10,2017,2,"1-4"
"pLabCases[2,10,4,1]",9.6301,8.1057145,11.6063475,"M",10,2017,2,"1-4"
"pLabCases[1,11,4,1]",17.5823,14.810035,20.75792,"F",11,2017,2,"1-4"
"pLabCases[2,11,4,1]",18.1198,15.3305625,21.8747175,"M",11,2017,2,"1-4"
"pLabCases[1,12,4,1]",1.46012,1.13646675,1.8768065,"F",12,2017,2,"1-4"
"pLabCases[2,12,4,1]",1.51526,1.1688215,1.94681325,"M",12,2017,2,"1-4"
"pLabCases[1,13,4,1]",40.85605,34.6833225,48.20398,"F",13,2017,2,"1-4"
"pLabCases[2,13,4,1]",42.1375,35.6063025,50.328755,"M",13,2017,2,"1-4"
"pLabCases[1,14,4,1]",40.5934,34.150665,48.2756625,"F",14,2017,2,"1-4"
"pLabCases[2,14,4,1]",41.94405,35.77362,49.8704525,"M",14,2017,2,"1-4"
"pLabCases[1,15,4,1]",5.937025,4.8663955,7.31025899999999,"F",15,2017,2,"1-4"
"pLabCases[2,15,4,1]",6.146315,5.08739875,7.49137,"M",15,2017,2,"1-4"
"pLabCases[1,16,4,1]",0.807192,0.602557275,1.100544,"F",16,2017,2,"1-4"
"pLabCases[2,16,4,1]",0.839424,0.6156478,1.1344715,"M",16,2017,2,"1-4"
"pLabCases[1,17,4,1]",4.48508,3.71539125,5.56763475,"F",17,2017,2,"1-4"
"pLabCases[2,17,4,1]",4.66912,3.7795475,5.74002425,"M",17,2017,2,"1-4"
"pLabCases[1,18,4,1]",33.08715,27.7405325,39.4606175,"F",18,2017,2,"1-4"
"pLabCases[2,18,4,1]",34.2521,28.85974,40.3278375,"M",18,2017,2,"1-4"
"pLabCases[1,19,4,1]",9.80172,8.06119025,11.937535,"F",19,2017,2,"1-4"
"pLabCases[2,19,4,1]",10.14775,8.46796875,12.3169775,"M",19,2017,2,"1-4"
"pLabCases[1,20,4,1]",3.647465,2.99991675,4.520716,"F",20,2017,2,"1-4"
"pLabCases[2,20,4,1]",3.750065,3.03574725,4.657668,"M",20,2017,2,"1-4"
"pLabCases[1,21,4,1]",0.276665,0.17531715,0.42191995,"F",21,2017,2,"1-4"
"pLabCases[2,21,4,1]",0.287823,0.180764925,0.4345723,"M",21,2017,2,"1-4"
"pLabCases[1,22,4,1]",1.43786,1.09859525,1.862742,"F",22,2017,2,"1-4"
"pLabCases[2,22,4,1]",1.4797,1.12199725,1.92087825,"M",22,2017,2,"1-4"
"pLabCases[1,23,4,1]",37.17505,31.876115,42.65353,"F",23,2017,2,"1-4"
"pLabCases[2,23,4,1]",38.43095,33.2660525,44.19906,"M",23,2017,2,"1-4"
"pLabCases[1,24,4,1]",0.8765725,0.667160925,1.151286,"F",24,2017,2,"1-4"
"pLabCases[2,24,4,1]",0.9083905,0.685478075,1.18528325,"M",24,2017,2,"1-4"
"pLabCases[1,25,4,1]",6.90274,5.7662915,8.4416735,"F",25,2017,2,"1-4"
"pLabCases[2,25,4,1]",7.159375,5.92728075,8.689993,"M",25,2017,2,"1-4"
"pLabCases[1,26,4,1]",0.5992705,0.40943195,0.841768375,"F",26,2017,2,"1-4"
"pLabCases[2,26,4,1]",0.618616,0.4258257,0.876592399999999,"M",26,2017,2,"1-4"
"pLabCases[1,27,4,1]",28.2347,23.5287075,33.346305,"F",27,2017,2,"1-4"
"pLabCases[2,27,4,1]",29.2231,24.7859775,34.77338,"M",27,2017,2,"1-4"
"pLabCases[1,1,5,1]",2.294895,1.7783955,2.9290925,"F",1,2018,2,"1-4"
"pLabCases[2,1,5,1]",2.379825,1.85878025,3.03415775,"M",1,2018,2,"1-4"
"pLabCases[1,2,5,1]",2.799225,2.2129205,3.50490275,"F",2,2018,2,"1-4"
"pLabCases[2,2,5,1]",2.883505,2.286252,3.64339475,"M",2,2018,2,"1-4"
"pLabCases[1,3,5,1]",3.53482,2.757879,4.48374475,"F",3,2018,2,"1-4"
"pLabCases[2,3,5,1]",3.66338,2.86979975,4.610172,"M",3,2018,2,"1-4"
"pLabCases[1,4,5,1]",0.1667465,0.078556705,0.3118952,"F",4,2018,2,"1-4"
"pLabCases[2,4,5,1]",0.1718935,0.08177087,0.323191275,"M",4,2018,2,"1-4"
"pLabCases[1,5,5,1]",5.850795,4.78580125,7.1756845,"F",5,2018,2,"1-4"
"pLabCases[2,5,5,1]",6.06052,4.9905855,7.4087935,"M",5,2018,2,"1-4"
"pLabCases[1,6,5,1]",8.99609,7.4613295,10.698845,"F",6,2018,2,"1-4"
"pLabCases[2,6,5,1]",9.28961,7.72662,11.076575,"M",6,2018,2,"1-4"
"pLabCases[1,7,5,1]",0.05631035,0.0229121025,0.124020875,"F",7,2018,2,"1-4"
"pLabCases[2,7,5,1]",0.0583501,0.0241340475,0.1300951,"M",7,2018,2,"1-4"
"pLabCases[1,8,5,1]",4.14072,3.3733765,5.0237975,"F",8,2018,2,"1-4"
"pLabCases[2,8,5,1]",4.269605,3.481482,5.195092,"M",8,2018,2,"1-4"
"pLabCases[1,9,5,1]",0.129504,0.06832526,0.248581475,"F",9,2018,2,"1-4"
"pLabCases[2,9,5,1]",0.133688,0.0707868375,0.2547842,"M",9,2018,2,"1-4"
"pLabCases[1,10,5,1]",2.502865,1.96661525,3.20668225,"F",10,2018,2,"1-4"
"pLabCases[2,10,5,1]",2.589385,1.98643975,3.29395675,"M",10,2018,2,"1-4"
"pLabCases[1,11,5,1]",23.88315,20.031145,28.396835,"F",11,2018,2,"1-4"
"pLabCases[2,11,5,1]",24.65295,20.9103825,29.133095,"M",11,2018,2,"1-4"
"pLabCases[1,12,5,1]",3.14869,2.53395275,3.9008015,"F",12,2018,2,"1-4"
"pLabCases[2,12,5,1]",3.261145,2.632287,4.061917,"M",12,2018,2,"1-4"
"pLabCases[1,13,5,1]",43.1537,36.813345,51.3512475,"F",13,2018,2,"1-4"
"pLabCases[2,13,5,1]",44.7383,37.7563825,53.659685,"M",13,2018,2,"1-4"
"pLabCases[1,14,5,1]",105.0445,88.84551,124.79125,"F",14,2018,2,"1-4"
"pLabCases[2,14,5,1]",108.903,91.9705775,130.334025,"M",14,2018,2,"1-4"
"pLabCases[1,15,5,1]",8.02288,6.61763625,9.94402125,"F",15,2018,2,"1-4"
"pLabCases[2,15,5,1]",8.343225,6.8074455,10.25117,"M",15,2018,2,"1-4"
"pLabCases[1,16,5,1]",0.834994,0.62533175,1.1297345,"F",16,2018,2,"1-4"
"pLabCases[2,16,5,1]",0.8645125,0.64397395,1.1762115,"M",16,2018,2,"1-4"
"pLabCases[1,17,5,1]",6.006655,4.95535725,7.35149875,"F",17,2018,2,"1-4"
"pLabCases[2,17,5,1]",6.20268,5.06849725,7.63522799999999,"M",17,2018,2,"1-4"
"pLabCases[1,18,5,1]",2.551775,2.0168845,3.2079805,"F",18,2018,2,"1-4"
"pLabCases[2,18,5,1]",2.643175,2.0962665,3.290576,"M",18,2018,2,"1-4"
"pLabCases[1,19,5,1]",77.35845,64.4491975,93.45923,"F",19,2018,2,"1-4"
"pLabCases[2,19,5,1]",80.11355,66.8189575,95.9267874999999,"M",19,2018,2,"1-4"
"pLabCases[1,20,5,1]",10.60775,8.88684325,12.7080925,"F",20,2018,2,"1-4"
"pLabCases[2,20,5,1]",10.9501,9.12873,13.1178425,"M",20,2018,2,"1-4"
"pLabCases[1,21,5,1]",0.2646285,0.173591375,0.412908325,"F",21,2018,2,"1-4"
"pLabCases[2,21,5,1]",0.274724,0.17834725,0.434584925,"M",21,2018,2,"1-4"
"pLabCases[1,22,5,1]",1.039145,0.764459925,1.4147165,"F",22,2018,2,"1-4"
"pLabCases[2,22,5,1]",1.07709,0.80540315,1.4304605,"M",22,2018,2,"1-4"
"pLabCases[1,23,5,1]",0.52879,0.34711475,0.779665525,"F",23,2018,2,"1-4"
"pLabCases[2,23,5,1]",0.546693,0.357860325,0.802923649999999,"M",23,2018,2,"1-4"
"pLabCases[1,24,5,1]",0.8499555,0.621077025,1.14911,"F",24,2018,2,"1-4"
"pLabCases[2,24,5,1]",0.8808945,0.633489975,1.19002225,"M",24,2018,2,"1-4"
"pLabCases[1,25,5,1]",4.45644,3.621424,5.45165225,"F",25,2018,2,"1-4"
"pLabCases[2,25,5,1]",4.60954,3.754485,5.6159935,"M",25,2018,2,"1-4"
"pLabCases[1,26,5,1]",0.1892185,0.102085125,0.321232175,"F",26,2018,2,"1-4"
"pLabCases[2,26,5,1]",0.194806,0.106203725,0.335553075,"M",26,2018,2,"1-4"
"pLabCases[1,27,5,1]",1.055615,0.7742552,1.40956425,"F",27,2018,2,"1-4"
"pLabCases[2,27,5,1]",1.092125,0.795663125,1.4560275,"M",27,2018,2,"1-4"
"pLabCases[1,1,6,1]",0.128484,0.0594350875,0.25701585,"F",1,2019,2,"1-4"
"pLabCases[2,1,6,1]",0.1331,0.0608762975,0.26285625,"M",1,2019,2,"1-4"
"pLabCases[1,2,6,1]",10.4606,8.715167,12.83931,"F",2,2019,2,"1-4"
"pLabCases[2,2,6,1]",10.8086,8.90010825,13.326035,"M",2,2019,2,"1-4"
"pLabCases[1,3,6,1]",0.172158,0.079302895,0.3153382,"F",3,2019,2,"1-4"
"pLabCases[2,3,6,1]",0.177872,0.081862635,0.333460175,"M",3,2019,2,"1-4"
"pLabCases[1,4,6,1]",0.203529,0.1056864,0.367129825,"F",4,2019,2,"1-4"
"pLabCases[2,4,6,1]",0.2117815,0.10634425,0.379099,"M",4,2019,2,"1-4"
"pLabCases[1,5,6,1]",58.05635,49.00712,69.491285,"F",5,2019,2,"1-4"
"pLabCases[2,5,6,1]",60.04985,50.7951725,71.5977075,"M",5,2019,2,"1-4"
"pLabCases[1,6,6,1]",14.5334,12.2003675,17.787315,"F",6,2019,2,"1-4"
"pLabCases[2,6,6,1]",15.03,12.54207,18.419065,"M",6,2019,2,"1-4"
